,tweet_id,date_time,lang,user_id,retweeted_id,quoted_id,in_reply_to_id,sentiment_conf,sentiment_label,user_type,gender_label,tweet_text_named_entities,geo_coordinates_lat_lon,geo_country_code,geo_state,geo_county,geo_city,place_bounding_box,place_country_code,place_state,place_county,place_city,user_loc_toponyms,user_loc_country_code,user_loc_state,user_loc_county,user_loc_city,user_profile_description_toponyms,user_profile_description_country_code,user_profile_description_state,user_profile_description_county,user_profile_description_city,tweet_text_toponyms,tweet_text_country_code,tweet_text_state,tweet_text_county,tweet_text_city,geo_coord_latitude,geo_coord_longitude
57757,1238861160402825216,2020-03-14T16:14:52,en,1195588656100204544,,,,0.866,1,UNK,,"[{'label': 'ORG', 'term': 'BBC Breakfast TV'}, {'label': 'DATE', 'term': 'yesterday'}, {'label': 'PERSON', 'term': 'olderadults atrisk OnlineAlternatives'}]","[53.41334492, -2.30825812]",GB,England,Greater Manchester,Trafford,"[[[-2.379808, 53.358611], [-2.379808, 53.441788], [-2.273741, 53.441788], [-2.273741, 53.358611]]]",GB,England,Greater Manchester,Trafford,"2 North Parade, Sale, M333JS",MA,,Pachalik de Salé,Salé,,,,,,,,,,,53.41334492,-2.30825812
60021,1239127135878557697,2020-03-15T09:51:45,en,103869438,,,,0.455,-1,UNK,,"[{'label': 'CARDINAL', 'term': 'one'}, {'label': 'PERSON', 'term': 'Governements'}]","[53.65, 10]",DE,,,Hamburg,"[[[8.42016, 53.395118], [8.42016, 53.964655], [10.325199, 53.964655], [10.325199, 53.395118]]]",DE,,,Hamburg,"Rabat , Morocco",MA,,,,,,,,,,,,,,53.65,10.0
61369,1239230973906051072,2020-03-15T16:44:22,ar,776991678225850368,,,,0.725,1,UNK,,,"[35.17666787, -2.92776664]",MA,,Pachalik de Nador باشوية الناظور,Nador,"[[[-2.9581, 35.138633], [-2.9581, 35.211549], [-2.903019, 35.211549], [-2.903019, 35.138633]]]",MA,,Pachalik de Nador باشوية الناظور,Nador,"Nador, Royaume du Maroc",MA,,,,,,,,,,,,,,35.17666787,-2.92776664
63815,1239484213751099394,2020-03-16T09:30:39,fr,3217485556,,,,0.518,0,UNK,,"[{'label': 'ORG', 'term': 'BB ANNONCE POUR'}, {'label': 'COVID-Entity', 'term': 'Coronavirus COVID 19'}, {'label': 'MISC', 'term': 'Les runions prsentielles'}]","[33.92256576, -6.9378233]",MA,,Pachalik de Témara باشوية تمارة,Temara,"[[[-6.945105, 33.902694], [-6.945105, 33.957034], [-6.88345, 33.957034], [-6.88345, 33.902694]]]",MA,,Pachalik de Témara باشوية تمارة,Temara,Morocco,MA,,,,,,,,,,,,,,33.92256576,-6.9378233
64254,1239514672916828161,2020-03-16T11:31:41,en,733685301281972225,,,,0.722,-1,UNK,,"[{'label': 'GPE', 'term': 'tarifa'}, {'label': 'ORG', 'term': 'sunsetphotography Tanja Marina Bay'}]","[35.7897974, -5.820844]",MA,,pachalik de Tanger طنجة,Tangier,"[[[-5.949789, 35.706305], [-5.949789, 35.801253], [-5.789153, 35.801253], [-5.789153, 35.706305]]]",MA,,pachalik de Tanger طنجة,arrondissement de Tanger-Medina طنجة المدينة,KSAR SGHIR,MA,,cercle de Fahs,Ksar es-Seghir,,,,,,['tarifa'],['EC'],['Guayas'],['Samborondón'],['UNK'],35.7897974,-5.820844
67650,1239814749912793088,2020-03-17T07:24:05,ca,733685301281972225,,,,0.537,0,UNK,,"[{'label': 'LOC', 'term': 'TangerMed'}, {'label': 'LOC', 'term': 'Tanger Med'}]","[35.88980556, -5.50133056]",MA,,cercle d'Anjra,Ksar El Majaz,"[[[-5.565173, 35.733659], [-5.565173, 35.914633], [-5.453612, 35.914633], [-5.453612, 35.733659]]]",MA,,cercle d'Anjra,Ksar El Majaz,KSAR SGHIR,MA,,cercle de Fahs,Ksar es-Seghir,,,,,,['Tanger Med'],['FR'],['New Aquitaine'],['Gironde'],['UNK'],35.88980556,-5.50133056
68210,1239863622064656385,2020-03-17T10:38:17,en,524297091,,,,0.727,0,UNK,,"[{'label': 'FAC', 'term': 'Larache corona Covid19 Corona Covid19'}, {'label': 'ORG', 'term': 'Maroc morocco Larache'}, {'label': 'GPE', 'term': 'Morocco'}]","[35.1972, -6.15333]",MA,,Pachalik de Larache باشوية العرائش,Larache,"[[[-6.190387, 35.136755], [-6.190387, 35.244267], [-6.088407, 35.244267], [-6.088407, 35.136755]]]",MA,,Pachalik de Larache باشوية العرائش,Larache,"Tangier Tetouan, Morocco",MA,,pachalik de Tanger طنجة,Tangier,,,,,,['Morocco'],['MA'],['UNK'],['UNK'],['UNK'],35.1972,-6.15333
69026,1239929191686115329,2020-03-17T14:58:50,en,1227945379691421697,,,,0.44,1,PER,M,"[{'label': 'PERSON', 'term': 'stayhome corona'}, {'label': 'GPE', 'term': 'Morocco'}]","[32, -6]",MA,,cercle d'Ouaouizeght,,"[[[-6.329553, 31.898247], [-6.329553, 32.113073], [-5.975889, 32.113073], [-5.975889, 31.898247]]]",MA,,cercle d'Ouaouizeght,,,,,,,,,,,,['Morocco'],['MA'],['UNK'],['UNK'],['UNK'],32.0,-6.0
69415,1239966181089374209,2020-03-17T17:25:49,fr,91299460,,,,0.833,1,UNK,,"[{'label': 'COVID-Entity', 'term': 'COVID 19'}, {'label': 'MISC', 'term': 'Nous avons'}]","[33.5942, -7.6193]",MA,,Pachalik de Casablanca,Casablanca,"[[[-7.63981, 33.582683], [-7.63981, 33.620683], [-7.579696, 33.620683], [-7.579696, 33.582683]]]",MA,,Pachalik de Casablanca,Casablanca,Rabat Africa,MA,,Pachalik de Ain Harrouda,,,,,,,,,,,,33.5942,-7.6193
71229,1240139359803846657,2020-03-18T04:53:58,en,1100624319711870977,,,,0.936,-1,ORG,,"[{'label': 'PERSON', 'term': 'Oprah'}, {'label': 'PERSON', 'term': 'MIA'}, {'label': 'DATE', 'term': '5 days'}, {'label': 'PERSON', 'term': 'Oprah Winfrey'}]","[37.978155, -121.769093]",US,California,Contra Costa County,Antioch,"[[[-121.860664, 37.945647], [-121.860664, 38.025674], [-121.732224, 38.025674], [-121.732224, 37.945647]]]",US,California,Contra Costa County,Antioch,The 9,MA,,,,,,,,,,,,,,37.978155,-121.769093
71319,1240151905474678785,2020-03-18T05:43:49,en,1100624319711870977,,,,0.621,-1,ORG,,"[{'label': 'PERSON', 'term': 'Weinstein'}, {'label': 'CARDINAL', 'term': '2'}, {'label': 'PERSON', 'term': 'Oprah TomHanks'}]","[37.97837, -121.769297]",US,California,Contra Costa County,Antioch,"[[[-121.860664, 37.945647], [-121.860664, 38.025674], [-121.732224, 38.025674], [-121.732224, 37.945647]]]",US,California,Contra Costa County,Antioch,The 9,MA,,,,,,,,,,,,,,37.97837,-121.769297
77411,1241116934369878017,2020-03-20T21:38:30,en,202863718,,,,0.888,-1,PER,M,"[{'label': 'TIME', 'term': 'the night'}, {'label': 'CARDINAL', 'term': '4'}, {'label': 'COVID-Entity', 'term': 'Corona'}]","[35.79109816, -5.80226054]",MA,,pachalik de Tanger طنجة,Tangier,"[[[-5.949789, 35.706305], [-5.949789, 35.801253], [-5.789153, 35.801253], [-5.789153, 35.706305]]]",MA,,pachalik de Tanger طنجة,arrondissement de Tanger-Medina طنجة المدينة,Maroc,MA,,,,,,,,,,,,,,35.79109816,-5.80226054
79214,1241441598938009603,2020-03-21T19:08:36,fr,904263269430562816,,,,0.366,1,PER,M,,"[5.3413, -4.0281]",CI,Abidjan,,Adjamé,"[[[-8.601243, 4.361655], [-8.601243, 10.738246], [-2.496632, 10.738246], [-2.496632, 4.361655]]]",CI,,,,Rabat Salé Zemmour Zaër,MA,,pachalik de Rabat,Rabat,,,,,,,,,,,5.3413,-4.0281
80495,1241666334091591680,2020-03-22T10:01:37,fr,299975670,,,,0.83,-1,PER,M,"[{'label': 'COVID-Entity', 'term': 'Coronavirus'}, {'label': 'LOC', 'term': 'Casablanca'}, {'label': 'LOC', 'term': 'Morocco'}]","[33.5942, -7.6193]",MA,,Pachalik de Casablanca,Casablanca,"[[[-7.63981, 33.582683], [-7.63981, 33.620683], [-7.579696, 33.620683], [-7.579696, 33.582683]]]",MA,,Pachalik de Casablanca,Casablanca,maroc,MA,,,,,,,,,"['Casablanca', 'Morocco']","['MA', 'MA']","['UNK', 'UNK']","['UNK', 'UNK']","['UNK', 'UNK']",33.5942,-7.6193
81455,1241766783016742912,2020-03-22T16:40:46,en,304518373,,,,0.346,-1,ORG,,"[{'label': 'PERSON', 'term': 'stayathome quedateencasa corona covid'}, {'label': 'CARDINAL', 'term': '19'}]","[31.14348028, -4.02726173]",MA,,cercle d'Er-Rissani,Et-taous ⵟⴰⵡⵙ الطاوس,"[[[-4.500019, 30.541083], [-4.500019, 31.187577], [-3.535083, 31.187577], [-3.535083, 30.541083]]]",MA,,cercle d'Er-Rissani,Et-taous ⵟⴰⵡⵙ الطاوس,Morocco,MA,,,,,,,,,,,,,,31.14348028,-4.02726173
81570,1241779253450063874,2020-03-22T17:30:19,en,65386810,,,,0.917,0,ORG,,"[{'label': 'ORG', 'term': 'CoronaVirus Lawrence'}, {'label': 'GPE', 'term': 'Massachusetts'}]","[42.7068, -71.1636]",US,Massachusetts,Essex County,Lawrence,"[[[-73.508143, 41.187054], [-73.508143, 42.886824], [-69.858861, 42.886824], [-69.858861, 41.187054]]]",US,Massachusetts,,,"LAWTOWN,MA ",MA,,,,,,,,,['Massachusetts'],['US'],['Massachusetts'],['UNK'],['UNK'],42.7068,-71.1636
81770,1241797221781311489,2020-03-22T18:41:43,fr,40441483,,,,0.753,-1,UNK,,"[{'label': 'PERSON', 'term': 'Enferm'}, {'label': 'LOC', 'term': 'Gueliz'}, {'label': 'LOC', 'term': 'Marrakech'}, {'label': 'LOC', 'term': 'Morocco'}]","[31.65, -8.03333]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,,,,,,"['Gueliz', 'Marrakech', 'Morocco']","['MA', 'MA', 'MA']","['UNK', 'UNK', 'UNK']","['Pachalik de Marrakech', 'Pachalik de Marrakech', 'UNK']","['arrondissement de Guéliz كليز', 'UNK', 'UNK']",31.65,-8.03333
82929,1241944131825352705,2020-03-23T04:25:29,fr,1231025108975783936,,,,0.952,0,PER,F,"[{'label': 'MISC', 'term': 'Hay Riad'}, {'label': 'LOC', 'term': 'Rabat'}]","[33.95625012, -6.86721871]",MA,,pachalik de Rabat,Rabat,"[[[-6.897168, 33.929195], [-6.897168, 34.021332], [-6.835422, 34.021332], [-6.835422, 33.929195]]]",MA,,pachalik de Rabat,Rabat,,,,,,,,,,,['Rabat'],['MA'],['UNK'],['UNK'],['UNK'],33.95625012,-6.86721871
83307,1242007805361618946,2020-03-23T08:38:30,sl,299975670,,,,0.787,0,PER,M,"[{'label': 'PERSON', 'term': 'ILA KATBGHI'}, {'label': 'PERSON', 'term': 'FDARK glso fdarkom'}, {'label': 'CARDINAL', 'term': '19'}, {'label': 'GPE', 'term': 'Casablanca'}, {'label': 'GPE', 'term': 'Morocco'}]","[33.5942, -7.6193]",MA,,Pachalik de Casablanca,Casablanca,"[[[-7.63981, 33.582683], [-7.63981, 33.620683], [-7.579696, 33.620683], [-7.579696, 33.582683]]]",MA,,Pachalik de Casablanca,Casablanca,maroc,MA,,,,,,,,,"['Casablanca', 'Morocco']","['MA', 'MA']","['UNK', 'UNK']","['UNK', 'UNK']","['UNK', 'UNK']",33.5942,-7.6193
86305,1242234875371020289,2020-03-23T23:40:48,en,401748647,,,,0.641,-1,PER,M,"[{'label': 'GPE', 'term': 'Los Angeles'}, {'label': 'GPE', 'term': 'California'}]","[34.0522, -118.243]",US,California,Los Angeles County,Los Angeles,"[[[-118.668404, 33.704538], [-118.668404, 34.337041], [-118.155409, 34.337041], [-118.155409, 33.704538]]]",US,California,Los Angeles County,,"StripLife Colombia, MA",MA,,,,,,,,,"['Los Angeles', 'California']","['US', 'US']","['California', 'California']","['Los Angeles County', 'UNK']","['UNK', 'UNK']",34.0522,-118.243
88870,1242525461336506371,2020-03-24T18:55:29,de,1532748632,,,,0.549,0,PER,M,"[{'label': 'ORG', 'term': 'apple'}, {'label': 'MISC', 'term': 'nigerian'}, {'label': 'MISC', 'term': 'african'}, {'label': 'LOC', 'term': 'Malden'}, {'label': 'LOC', 'term': 'Massachusetts'}]","[42.4253, -71.0677]",US,Massachusetts,Middlesex County,,"[[[-71.089522, 42.412466], [-71.089522, 42.444922], [-71.020192, 42.444922], [-71.020192, 42.412466]]]",US,Massachusetts,Middlesex County,,Ma,MA,,,,,,,,,"['Malden', 'Massachusetts']","['US', 'US']","['New York', 'Massachusetts']","['Ulster County', 'UNK']","['UNK', 'UNK']",42.4253,-71.0677
88990,1242539923615473672,2020-03-24T19:52:57,fr,40441483,,,,0.805,-1,UNK,,"[{'label': 'MISC', 'term': 'Enferm'}, {'label': 'LOC', 'term': 'Marrakech'}, {'label': 'LOC', 'term': 'Morocco'}]","[31.65, -8.03333]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,,,,,,"['Marrakech', 'Morocco']","['MA', 'MA']","['UNK', 'UNK']","['Pachalik de Marrakech', 'UNK']","['UNK', 'UNK']",31.65,-8.03333
89164,1242557576136531968,2020-03-24T21:03:06,fr,40441483,,,,0.856,-1,UNK,,"[{'label': 'PERSON', 'term': 'Enferm Enferm'}, {'label': 'ORG', 'term': 'Marrakesh'}, {'label': 'ORG', 'term': 'Morocco'}]","[31.63341735, -8.00839127]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,,,,,,,,,,,31.63341735,-8.00839127
89173,1242558385972809729,2020-03-24T21:06:19,fr,40441483,,,,0.725,-1,UNK,,"[{'label': 'MISC', 'term': 'Enferm e Enferm'}, {'label': 'MISC', 'term': 'Marrakesh'}, {'label': 'ORG', 'term': 'Morocco'}]","[31.63341735, -8.00839127]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,,,,,,,,,,,31.63341735,-8.00839127
90259,1242738209152544768,2020-03-25T09:00:52,en,2815641686,,,,0.379,0,PER,F,"[{'label': 'ORG', 'term': 'Chefchaouen a'}, {'label': 'GPE', 'term': 'Morocco'}, {'label': 'COVID-Entity', 'term': 'Corona'}]","[31.6333, -8]",MA,,Pachalik de Marrakech,Marrakesh,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,Morocco,MA,,,,,,,,,"['Morocco', 'Corona']","['MA', 'US']","['UNK', 'New Mexico']","['UNK', 'Lincoln County']","['UNK', 'UNK']",31.6333,-8.0
91983,1242936314607042560,2020-03-25T22:08:04,en,793469616651661316,,,,0.355,0,PER,M,"[{'label': 'COVID-Entity', 'term': 'COVID'}, {'label': 'CARDINAL', 'term': '19'}, {'label': 'PRODUCT', 'term': 'BIKESTAGRAM CYCLINGLIFE'}]","[31.6333, -8]",MA,,Pachalik de Marrakech,Marrakesh,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,Atlas Mountains Morocco,MA,,cercle de Taliouine,,"['Morocco', 'Mountain Biking', 'Marrakech']","['MA', 'US', 'MA']","['UNK', 'California', 'UNK']","['UNK', 'Riverside County', 'Pachalik de Marrakech']","['UNK', 'UNK', 'UNK']",,,,,,31.6333,-8.0
93569,1243159664230985728,2020-03-26T12:55:35,en,5665672,,,,0.863,0,PER,M,"[{'label': 'GPE', 'term': 'Tyngsboro'}, {'label': 'GPE', 'term': 'Massachusetts'}]","[42.68932, -71.43268]",US,Massachusetts,Middlesex County,,"[[[-71.50617, 42.62467], [-71.50617, 42.700383], [-71.367858, 42.700383], [-71.367858, 42.62467]]]",US,Massachusetts,Middlesex County,,"Outside of Boston, MA",MA,,,,,,,,,"['Tyngsboro', 'Massachusetts']","['US', 'US']","['Massachusetts', 'Massachusetts']","['Middlesex County', 'UNK']","['UNK', 'UNK']",42.68932,-71.43268
94219,1243225891288776709,2020-03-26T17:18:45,en,304518373,,,,0.395,-1,ORG,,"[{'label': 'DATE', 'term': 'today'}, {'label': 'PERSON', 'term': 'merzougadesert saharadesert merzouga'}]","[31.09807093, -4.01618958]",MA,,cercle d'Er-Rissani,Et-taous ⵟⴰⵡⵙ الطاوس,"[[[-5.893228, 30.084739], [-5.893228, 32.629137], [-3.111941, 32.629137], [-3.111941, 30.084739]]]",MA,,,,Morocco,MA,,,,,,,,,,,,,,31.09807093,-4.01618958
94744,1243278391350099968,2020-03-26T20:47:22,en,65386810,,,,0.553,-1,ORG,,"[{'label': 'QUANTITY', 'term': '70mph'}, {'label': 'CARDINAL', 'term': '93N'}, {'label': 'TIME', 'term': '4pm'}, {'label': 'DATE', 'term': 'Thurday'}, {'label': 'GPE', 'term': 'Boston'}, {'label': 'GPE', 'term': 'Massachusetts'}]","[42.3577, -71.0565]",US,Massachusetts,Suffolk County,Boston,"[[[-71.191421, 42.227797], [-71.191421, 42.399542], [-70.986004, 42.399542], [-70.986004, 42.227797]]]",US,Massachusetts,Suffolk County,Boston,"LAWTOWN,MA ",MA,,,,,,,,,"['Boston', 'Massachusetts']","['PH', 'US']","['Davao Oriental', 'Massachusetts']","['Boston', 'UNK']","['UNK', 'UNK']",42.3577,-71.0565
96662,1243529861798539265,2020-03-27T13:26:37,en,304518373,,,,0.512,-1,ORG,,"[{'label': 'DATE', 'term': 'Friday'}, {'label': 'CARDINAL', 'term': '0'}, {'label': 'CARDINAL', 'term': '19'}, {'label': 'PERSON', 'term': 'likesforlike merzougadesert saharadesert merzouga beautifuldestinations'}]","[31.09807093, -4.01618958]",MA,,cercle d'Er-Rissani,Et-taous ⵟⴰⵡⵙ الطاوس,"[[[-5.893228, 30.084739], [-5.893228, 32.629137], [-3.111941, 32.629137], [-3.111941, 30.084739]]]",MA,,,,Morocco,MA,,,,,,,,,,,,,,31.09807093,-4.01618958
96840,1243549536859107336,2020-03-27T14:44:48,en,203247416,,,,0.797,-1,PER,F,"[{'label': 'CARDINAL', 'term': '19'}, {'label': 'GPE', 'term': 'Marrakech'}]","[31.6333, -8]",MA,,Pachalik de Marrakech,Marrakesh,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,,,,,,['Marrakech'],['MA'],['UNK'],['Pachalik de Marrakech'],['UNK'],31.6333,-8.0
98566,1243717769629241344,2020-03-28T01:53:18,en,484090322,,,,0.562,1,PER,M,"[{'label': 'ORG', 'term': 'A1A Tue 3 24'}, {'label': 'COVID-Entity', 'term': 'Covid'}, {'label': 'ORG', 'term': 'FTL'}, {'label': 'PERSON', 'term': 'iFTL Ft'}, {'label': 'GPE', 'term': 'Lauderdale Beach'}]","[26.11999216, -80.10551426]",US,Florida,Broward County,Fort Lauderdale,"[[[-80.20811, 26.080935], [-80.20811, 26.219801], [-80.090235, 26.219801], [-80.090235, 26.080935]]]",US,Florida,Broward County,Fort Lauderdale,33304,MA,,Pachalik de Outat El Haj,,['Fort Lauderdale'],['US'],['Florida'],['Broward County'],['Fort Lauderdale'],['Lauderdale Beach'],['US'],['Alabama'],['Lauderdale County'],['UNK'],26.11999216,-80.10551426
99385,1243851998295982080,2020-03-28T10:46:40,fr,40441483,,,,0.865,-1,UNK,,"[{'label': 'MISC', 'term': 'Confinement by yellow'}, {'label': 'MISC', 'term': 'Enferm'}, {'label': 'LOC', 'term': 'Gueliz Plaza'}, {'label': 'LOC', 'term': 'Marrakesh'}, {'label': 'ORG', 'term': 'Morocco'}]","[31.63341735, -8.00839127]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,"[[[-8.041966, 31.594183], [-8.041966, 31.698717], [-7.983023, 31.698717], [-7.983023, 31.594183]]]",MA,,Pachalik de Marrakech,arrondissement de Guéliz كليز,,,,,,,,,,,"['Gueliz Plaza', 'Marrakesh']","['MA', 'MA']","['UNK', 'UNK']","['Pachalik de Marrakech', 'Pachalik de Marrakech']","['Marrakesh', 'Marrakesh']",31.63341735,-8.00839127
