,tweet_id,date_time,lang,user_id,retweeted_id,quoted_id,in_reply_to_id,sentiment_conf,sentiment_label,user_type,gender_label,tweet_text_named_entities,geo_coordinates_lat_lon,geo_country_code,geo_state,geo_county,geo_city,place_bounding_box,place_country_code,place_state,place_county,place_city,user_loc_toponym,user_loc_country_code,user_loc_state,user_loc_county,user_loc_city,User_profile_description_toponyms,user_profile_description_country_code,user_profile_description_state,user_profile_description_county,user_profile_description_city,tweet_text_toponyms,tweet_text_country_code,tweet_text_state,tweet_text_county,tweet_text_city,geo_coord_latitude,geo_coord_longitude
87035,1223436257528877058,2020-02-01T02:41:48,en,805185890213445632,,,,0.942,-1,UNK,,"[{'label': 'CARDINAL', 'term': '22'}, {'label': 'ORG', 'term': 'SHIT'}, {'label': 'GPE', 'term': 'San Jose'}, {'label': 'GPE', 'term': 'California'}]","[37.3376, -121.8865]",US,California,Santa Clara County,San Jose,"[[[-122.035311, 37.193164], [-122.035311, 37.469154], [-121.71215, 37.469154], [-121.71215, 37.193164]]]",US,California,Santa Clara County,San Jose,"San Jose, California",US,California,Santa Clara County,San Jose,,,,,,"['San Jose', 'California']","['CR', 'US']","['San Jose Province', 'California']","['UNK', 'UNK']","['UNK', 'UNK']",37.3376,-121.8865
91673,1223438360993304578,2020-02-01T02:50:10,en,162356532,,,,0.895,-1,PER,F,"[{'label': 'CARDINAL', 'term': 'three'}]","[31.005, 121.409]",CN,,,Minhang District,"[[[120.858322, 30.69094], [120.858322, 31.86889], [121.9733, 31.86889], [121.9733, 30.69094]]]",CN,,,,Digital World,GB,England,West Yorkshire,Leeds,,,,,,,,,,,31.005,121.409
95849,1223440187948138496,2020-02-01T02:57:25,en,535089349,,,,0.768,-1,PER,M,"[{'label': 'CARDINAL', 'term': '6B 3'}, {'label': 'NORP', 'term': 'coronavirusoutbreak'}, {'label': 'ORG', 'term': 'zombieland china'}, {'label': 'GPE', 'term': 'Suffolk County'}, {'label': 'GPE', 'term': 'New York'}]","[41.0327, -72.208]",US,New York,Suffolk County,,"[[[-79.76259, 40.477383], [-79.76259, 45.015851], [-71.777492, 45.015851], [-71.777492, 40.477383]]]",US,New York,,,"New York, USA",US,New York,,,,,,,,"['Suffolk County', 'New York']","['US', 'US']","['New York', 'New York']","['Suffolk County', 'UNK']","['UNK', 'UNK']",41.0327,-72.208
96659,1223440544061435905,2020-02-01T02:58:50,en,426345416,,,,0.751,0,PER,M,"[{'label': 'TIME', 'term': 'Trivia Night'}, {'label': 'COVID-Entity', 'term': 'Corona'}, {'label': 'CARDINAL', 'term': '1924'}]","[43.5333, -89.9626]",US,Wisconsin,Sauk County,,"[[[-90.030861, 43.50856], [-90.030861, 43.559592], [-89.962551, 43.559592], [-89.962551, 43.50856]]]",US,Wisconsin,Sauk County,,"Madison, WI",US,Wisconsin,Dane County,Madison,,,,,,,,,,,43.5333,-89.9626
105510,1223444604663541760,2020-02-01T03:14:58,en,130542744,,,,0.621,-1,PER,M,"[{'label': 'ORG', 'term': 'coronavirusoutbreak coronavirusinfection coronainfection'}]","[22.2833157, 70.8030671]",IN,Gujarat,Rajkot Taluka,Rajkot,"[[[70.694641, 22.04699], [70.694641, 22.477865], [71.097384, 22.477865], [71.097384, 22.04699]]]",IN,Gujarat,,,"Rajkot, Gujarat, India",IN,Gujarat,,,,,,,,,,,,,22.2833157,70.8030671
108864,1223446189036789765,2020-02-01T03:21:16,en,26772523,,,,0.665,-1,UNK,,"[{'label': 'COVID-Entity', 'term': 'Corona'}, {'label': 'ORG', 'term': 'NYC'}, {'label': 'GPE', 'term': 'New York'}]","[40.7596, -73.8301]",US,New York,,New York,"[[[-73.962582, 40.541722], [-73.962582, 40.800037], [-73.699793, 40.800037], [-73.699793, 40.541722]]]",US,New York,,New York,"New York, New York",US,New York,,New York,,,,,,"['Corona', 'New York']","['US', 'US']","['New Mexico', 'New York']","['Lincoln County', 'UNK']","['UNK', 'UNK']",40.7596,-73.8301
118610,1223450749595803651,2020-02-01T03:39:23,en,83784822,,,,0.698,-1,UNK,,"[{'label': 'GPE', 'term': 'Bangkok'}]","[13.7337129, 100.514359]",TH,Bangkok,Samphanthawong District,Talat Noi Subdistrict,"[[[100.510221, 13.729079], [100.510221, 13.740307], [100.515905, 13.740307], [100.515905, 13.729079]]]",TH,Saraburi Province,,,,,,,,,,,,,['Bangkok'],['TH'],['Bangkok'],['UNK'],['UNK'],13.7337129,100.514359
120371,1223451579665330176,2020-02-01T03:42:41,en,2921185008,,,,0.483,0,PER,F,"[{'label': 'GPE', 'term': 'Manila'}, {'label': 'GPE', 'term': 'Philippines'}]","[14.5896, 120.9808]",PH,,,Manila,"[[[120.941642, 14.543877], [120.941642, 14.639036], [121.026331, 14.639036], [121.026331, 14.543877]]]",PH,,,Manila,"Paco, Manila",PH,,,Manila,,,,,,"['Manila', 'Philippines']","['PH', 'PH']","['UNK', 'UNK']","['UNK', 'UNK']","['Manila', 'UNK']",14.5896,120.9808
121643,1223452202993430528,2020-02-01T03:45:10,en,45951472,,,,0.713,-1,PER,M,"[{'label': 'TIME', 'term': '36 hours'}, {'label': 'COVID-Entity', 'term': 'Corona'}, {'label': 'FAC', 'term': 'The Roundup Saloon'}, {'label': 'GPE', 'term': 'Lafayette'}]","[37.89170288, -122.12042025]",US,California,Contra Costa County,,"[[[-122.167768, 37.850036], [-122.167768, 37.939445], [-122.077905, 37.939445], [-122.077905, 37.850036]]]",US,California,Contra Costa County,,California,US,California,,,['the Western Hemisphere'],['AU'],['Western Australia'],['UNK'],['UNK'],"['Corona', 'The Roundup Saloon', 'Lafayette']","['US', 'US', 'US']","['New Mexico', 'California', 'Florida']","['Lincoln County', 'Contra Costa County', 'Lafayette County']","['UNK', 'UNK', 'UNK']",37.89170288,-122.12042025
127755,1223455139161354240,2020-02-01T03:56:50,en,30550012,,,,0.885,-1,UNK,,"[{'label': 'ORG', 'term': 'lysol'}, {'label': 'CARDINAL', 'term': 'one'}, {'label': 'PERSON', 'term': 'checkitout'}, {'label': 'ORG', 'term': 'Lysol'}]","[34.02686328, -84.21613127]",US,Georgia,Fulton County,Johns Creek,"[[[-84.286258, 33.985534], [-84.286258, 34.0905], [-84.097879, 34.0905], [-84.097879, 33.985534]]]",US,Georgia,Fulton County,Johns Creek,,,,,,,,,,,,,,,,34.02686328,-84.21613127
129602,1223456069201981440,2020-02-01T04:00:32,en,191092262,,,,0.86,-1,UNK,,"[{'label': 'CARDINAL', 'term': '8,000'}, {'label': 'CARDINAL', 'term': '171'}, {'label': 'GPE', 'term': 'Wuhan'}, {'label': 'GPE', 'term': 'China'}, {'label': 'DATE', 'term': 'last month'}]","[45.6677507, -73.47935661]",CA,Quebec,Marguerite-D'Youville,,"[[[-73.487336, 45.610005], [-73.487336, 45.748945], [-73.323658, 45.748945], [-73.323658, 45.610005]]]",CA,Quebec,Marguerite-D'Youville,,,,,,,,,,,,"['Wuhan', 'China']","['CN', 'CN']","['Hubei', 'UNK']","[""Jiang'an District"", 'UNK']","['Wuhan', 'UNK']",45.6677507,-73.47935661
130151,1223456327210602503,2020-02-01T04:01:33,en,2231822497,,,,0.767,0,GPE,,"[{'label': 'DATE', 'term': '01 31 2020 1st'}, {'label': 'DATE', 'term': 'Monday'}, {'label': 'GPE', 'term': 'triviamiami miamitrivia'}, {'label': 'ORG', 'term': 'triviafriday phonesinthebucket nobuzzersjustbrains'}]","[25.72794241, -80.24292459]",US,Florida,Miami-Dade County,Miami,"[[[-80.321683, 25.70904], [-80.321683, 25.855667], [-80.144974, 25.855667], [-80.144974, 25.70904]]]",US,Florida,Miami-Dade County,Miami,"Miami, FL",US,Florida,Miami-Dade County,Miami,,,,,,,,,,,25.72794241,-80.24292459
134871,1223458629535371264,2020-02-01T04:10:42,en,30550012,,,,0.475,0,UNK,,"[{'label': 'ORG', 'term': 'Lysol'}, {'label': 'ORG', 'term': 'Lysol'}, {'label': 'CARDINAL', 'term': 'one'}, {'label': 'TIME', 'term': 'a few minutes ago'}, {'label': 'PRODUCT', 'term': 'Clorox'}]","[34.02686328, -84.21613127]",US,Georgia,Fulton County,Johns Creek,"[[[-84.286258, 33.985534], [-84.286258, 34.0905], [-84.097879, 34.0905], [-84.097879, 33.985534]]]",US,Georgia,Fulton County,Johns Creek,,,,,,,,,,,,,,,,34.02686328,-84.21613127
136181,1223459266981396480,2020-02-01T04:13:14,en,997050657856143360,,,,0.41,0,UNK,,"[{'label': 'NORP', 'term': 'coronavirusoutbreak'}]","[30.52502419, 114.35014953]",CN,Hubei,,Hongshan District,"[[[108.376083, 29.054997], [108.376083, 33.266266], [116.13472, 33.266266], [116.13472, 29.054997]]]",CN,Hubei,,,"New Delhi, India",IN,Delhi,,New Delhi,,,,,,,,,,,30.52502419,114.35014953
146504,1223464308975263747,2020-02-01T04:33:16,en,1114286820,,,,0.571,1,PER,F,,"[36, 128]",KR,,,Gimcheon-si,"[[[127.874072, 35.830707], [127.874072, 36.276152], [128.318662, 36.276152], [128.318662, 35.830707]]]",KR,,,Gimcheon-si,"Incheon, Republic of Korea",KR,,,Incheon,,,,,,,,,,,36.0,128.0
148866,1223465466640961537,2020-02-01T04:37:52,en,163700914,,,,0.84,-1,PER,M,"[{'label': 'DATE', 'term': '2019'}, {'label': 'GPE', 'term': 'Wuhan'}, {'label': 'CARDINAL', 'term': '18'}, {'label': 'DATE', 'term': 'today'}, {'label': 'GPE', 'term': 'Malaysia'}]","[3.03103014, 101.53640134]",MY,Selangor,,Shah Alam,"[[[101.198048, 2.883813], [101.198048, 3.192253], [101.567963, 3.192253], [101.567963, 2.883813]]]",MY,Selangor,,,Banda Acheh,CN,Yunnan,,Wenshan Zhuang and Miao Autonomous Prefecture,,,,,,"['Wuhan', 'Malaysia']","['CN', 'MY']","['Hubei', 'UNK']","[""Jiang'an District"", 'UNK']","['Wuhan', 'UNK']",3.03103014,101.53640134
153295,1223467737860726784,2020-02-01T04:46:54,en,1224258462,,,,0.61,1,PER,F,"[{'label': 'DATE', 'term': '2020'}, {'label': 'PERSON', 'term': 'healthyGod'}, {'label': 'NORP', 'term': 'ofJiayoumeans'}]","[42.78484844, 141.67650324]",JP,,,Chitose,"[[[141.172232, 42.681097], [141.172232, 42.954674], [141.869883, 42.954674], [141.869883, 42.681097]]]",JP,,,Chitose,"Bangkok, Thailand",TH,Bangkok,,,['Bangkok'],['TH'],['Bangkok'],['UNK'],['UNK'],,,,,,42.78484844,141.67650324
166003,1223474266169102337,2020-02-01T05:12:50,en,1316862031,,,,0.657,-1,UNK,,"[{'label': 'GPE', 'term': 'China'}, {'label': 'CARDINAL', 'term': '259'}, {'label': 'GPE', 'term': 'U S'}]","[52.232222, 21.008333]",PL,Masovian Voivodeship,,Warsaw,"[[[20.852552, 52.097709], [20.852552, 52.367962], [21.271028, 52.367962], [21.271028, 52.097709]]]",PL,Masovian Voivodeship,,Warsaw,,,,,,,,,,,"['China', 'U S']","['CN', 'US']","['UNK', 'Wisconsin']","['UNK', 'Langlade County']","['UNK', 'UNK']",52.232222,21.008333
169358,1223476002053132291,2020-02-01T05:19:44,en,28433973,,,,0.866,-1,ORG,,"[{'label': 'PERSON', 'term': 'Bunky'}, {'label': 'NORP', 'term': 'coronavirusoutbreak'}]","[35.99316, -114.94755]",US,Nevada,Clark County,Henderson,"[[[-115.158143, 35.917793], [-115.158143, 36.094719], [-114.918531, 36.094719], [-114.918531, 35.917793]]]",US,Nevada,Clark County,Henderson,Las Vegas Nevada USA,US,Nevada,Clark County,Las Vegas,,,,,,,,,,,35.99316,-114.94755
172687,1223477808011403264,2020-02-01T05:26:55,en,21499033,,,,0.585,0,PER,M,"[{'label': 'CARDINAL', 'term': '3'}, {'label': 'COVID-Entity', 'term': 'Corona'}, {'label': 'ORG', 'term': 'Thai Airways'}]","[13.69134331, 100.75122833]",TH,Samut Prakan Province,Bang Phli District,,"[[[100.735444, 13.646711], [100.735444, 13.716587], [100.782504, 13.716587], [100.782504, 13.646711]]]",TH,Chon Buri Province,,,,,,,,,,,,,,,,,,13.69134331,100.75122833
176280,1223479778453291008,2020-02-01T05:34:44,en,1472622560,,,,0.521,0,PER,F,"[{'label': 'GPE', 'term': 'China'}, {'label': 'EVENT', 'term': 'Chinese New Year 7'}, {'label': 'EVENT', 'term': 'Chinese New Year'}]","[31.14777778, 121.43805556]",CN,,,Xuhui District,"[[[120.858322, 30.69094], [120.858322, 31.86889], [121.9733, 31.86889], [121.9733, 30.69094]]]",CN,,,,"Los Angeles, CA",US,California,Los Angeles County,,,,,,,['China'],['CN'],['UNK'],['UNK'],['UNK'],31.14777778,121.43805556
176764,1223480033303519233,2020-02-01T05:35:45,en,791189964931293184,,,,0.488,0,UNK,,"[{'label': 'PRODUCT', 'term': 'Jumbo B 747'}, {'label': 'GPE', 'term': 'Delhi'}, {'label': 'TIME', 'term': 'this morning'}, {'label': 'CARDINAL', 'term': '324'}, {'label': 'NORP', 'term': 'Indians'}, {'label': 'GPE', 'term': 'Wuhan'}, {'label': 'GPE', 'term': 'China'}, {'label': 'GPE', 'term': 'Delhi'}, {'label': 'DATE', 'term': '7 30 am'}, {'label': 'GPE', 'term': 'Tpov Delhi'}]","[28.66666667, 77.21666667]",IN,Delhi,Civil Lines Tehsil,,"[[[76.84252, 28.397657], [76.84252, 28.879322], [77.347652, 28.879322], [77.347652, 28.397657]]]",IN,Delhi,,New Delhi,,,,,,['Vadodara'],['IN'],['Gujarat'],['Vadodara Taluka'],['Vadodara'],"['Delhi', 'Wuhan', 'China', 'Delhi']","['IN', 'CN', 'CN', 'IN']","['Delhi', 'Hubei', 'UNK', 'Delhi']","['UNK', ""Jiang'an District"", 'UNK', 'UNK']","['UNK', 'Wuhan', 'UNK', 'UNK']",28.66666667,77.21666667
178892,1223481104818151424,2020-02-01T05:40:01,en,59525314,,,,0.785,0,PER,F,"[{'label': 'GPE', 'term': 'China'}, {'label': 'CARDINAL', 'term': '2'}, {'label': 'QUANTITY', 'term': '2 2'}, {'label': 'GPE', 'term': 'Shanghai'}]","[35, 103]",CN,Gansu,Hezuo City,,"[[[93.496094, 32.592491], [93.496094, 42.773888], [108.705551, 42.773888], [108.705551, 32.592491]]]",CN,Gansu,,,Shanghai,CN,,,Shanghai,"['the Republic of South Africa', 'Shanghai']","['ZA', 'CN']","['UNK', 'UNK']","['UNK', 'UNK']","['UNK', 'Shanghai']","['China', 'Shanghai']","['CN', 'CN']","['UNK', 'UNK']","['UNK', 'UNK']","['UNK', 'Shanghai']",35.0,103.0
182603,1223483130679451648,2020-02-01T05:48:04,en,547668880,,,,0.584,-1,PER,M,"[{'label': 'COVID-Entity', 'term': 'Corona'}, {'label': 'PERSON', 'term': 'Lets'}, {'label': 'CARDINAL', 'term': '4'}, {'label': 'FAC', 'term': 'Shangri La Hotel'}, {'label': 'GPE', 'term': 'Kuala Lumpur'}]","[3.1539712, 101.70632422]",MY,,,Kuala Lumpur,"[[[101.668232, 3.104906], [101.668232, 3.192155], [101.742378, 3.192155], [101.742378, 3.104906]]]",MY,,,Kuala Lumpur,"London, England",GB,England,,London,,,,,,"['Shangri La Hotel', 'Kuala Lumpur']","['GB', 'MY']","['England', 'UNK']","['UNK', 'UNK']","['London', 'Kuala Lumpur']",3.1539712,101.70632422
182619,1223483140435578880,2020-02-01T05:48:06,en,14112188,,,,0.886,-1,PER,M,"[{'label': 'GPE', 'term': 'Beijing'}, {'label': 'GPE', 'term': 'Beijing'}, {'label': 'GPE', 'term': 'China'}]","[39.9289, 116.388]",CN,,,Xicheng District,"[[[115.421372, 39.43277], [115.421372, 41.05999], [117.501099, 41.05999], [117.501099, 39.43277]]]",CN,,,,,,,,,,,,,,"['Beijing', 'Beijing', 'China']","['CN', 'CN', 'CN']","['UNK', 'UNK', 'UNK']","['UNK', 'UNK', 'UNK']","['Beijing', 'Beijing', 'UNK']",39.9289,116.388
184106,1223484007054098432,2020-02-01T05:51:33,en,853007708814954496,,,,0.806,-1,PER,F,"[{'label': 'GPE', 'term': 'San Francisco'}, {'label': 'LOC', 'term': 'Bay Area'}, {'label': 'GPE', 'term': 'China'}, {'label': 'EVENT', 'term': 'San Francisco Chronicle Coronavirus'}, {'label': 'LOC', 'term': 'Bay Area'}, {'label': 'GPE', 'term': 'China'}, {'label': 'PERSON', 'term': 'DingLee HannahKain'}, {'label': 'PRODUCT', 'term': 'TimCook LarryLiu ChipBergh'}]","[37.7485909, -122.4190191]",US,California,San Francisco,San Francisco,"[[[-122.514926, 37.708075], [-122.514926, 37.833238], [-122.357031, 37.833238], [-122.357031, 37.708075]]]",US,California,San Francisco,,"San Francisco, CA",US,California,San Francisco,,,,,,,"['San Francisco', 'Bay Area', 'China', 'Bay Area', 'China']","['PH', 'US', 'CN', 'US', 'CN']","['Cebu', 'California', 'UNK', 'California', 'UNK']","['UNK', 'San Francisco', 'UNK', 'San Francisco', 'UNK']","['UNK', 'San Francisco', 'UNK', 'San Francisco', 'UNK']",37.7485909,-122.4190191
184884,1223484435896643584,2020-02-01T05:53:15,en,1274172720,,,,0.464,1,PER,M,"[{'label': 'PERSON', 'term': 'Liang Wudong'}, {'label': 'GPE', 'term': 'wuhan'}, {'label': 'GPE', 'term': 'china'}, {'label': 'ORDINAL', 'term': 'first'}, {'label': 'COVID-Entity', 'term': 'Coronavirus'}]","[18.49938932, 73.85893822]",IN,Maharashtra,,Pune,"[[[73.803107, 18.457165], [73.803107, 18.584363], [73.965657, 18.584363], [73.965657, 18.457165]]]",IN,Maharashtra,,,"pune, maharashtra, india",IN,Maharashtra,,,,,,,,"['wuhan', 'china']","['CN', 'CN']","['Hubei', 'UNK']","[""Jiang'an District"", 'UNK']","['Wuhan', 'UNK']",18.49938932,73.85893822
187260,1223485771237089280,2020-02-01T05:58:33,en,20275189,,,,0.388,0,PER,F,"[{'label': 'PERSON', 'term': 'barre'}, {'label': 'DATE', 'term': 'today'}]","[1.2779798, 103.84315488]",SG,,Central,Singapore,"[[[103.74996, 1.212314], [103.74996, 1.368745], [103.918427, 1.368745], [103.918427, 1.212314]]]",SG,,,,Singapore,SG,,,,,,,,,,,,,,1.2779798,103.84315488
187262,1223485771803435008,2020-02-01T05:58:33,en,4315070789,,,,0.803,0,ORG,,"[{'label': 'ORG', 'term': 'Bremadent Dental Laboratory'}, {'label': 'DATE', 'term': 'the last week'}]","[51.58080815, -0.03262983]",GB,England,,London,"[[[-0.06111, 51.549969], [-0.06111, 51.648542], [0.023642, 51.648542], [0.023642, 51.549969]]]",GB,England,,London,"Walthamstow, London",GB,England,,London,"['London', 'UK']","['GB', 'GB']","['England', 'UNK']","['UNK', 'UNK']","['London', 'UNK']",,,,,,51.58080815,-0.03262983
189814,1223487215034142721,2020-02-01T06:04:18,en,1945729094,,,,0.807,1,ORG,,"[{'label': 'ORG', 'term': 'HK'}]","[22.31414584, 114.18825719]",CN,Hong Kong,,Kowloon,"[[[114.172432, 22.293429], [114.172432, 22.349214], [114.219335, 22.349214], [114.219335, 22.293429]]]",CN,Hong Kong,,,Hong Kong,CN,Hong Kong,,,,,,,,,,,,,22.31414584,114.18825719
190030,1223487344545869824,2020-02-01T06:04:48,en,15692330,,,,0.562,0,PER,F,"[{'label': 'GPE', 'term': 'Bangkok'}, {'label': 'PERSON', 'term': 'Kachanaburi'}, {'label': 'LOC', 'term': 'the River Kwai'}, {'label': 'GPE', 'term': 'Bangkok'}]","[13.80281752, 100.55399276]",TH,Bangkok,Chatuchak District,Chom Phon Subdistrict,"[[[100.536967, 13.796246], [100.536967, 13.832893], [100.568543, 13.832893], [100.568543, 13.796246]]]",TH,Bangkok,Chatuchak District,Chatuchak Subdistrict,,,,,,"['US', 'China']","['US', 'CN']","['UNK', 'UNK']","['UNK', 'UNK']","['UNK', 'UNK']","['Bangkok', 'the River Kwai', 'Bangkok']","['TH', 'GB', 'TH']","['Bangkok', 'England', 'Bangkok']","['UNK', 'West Sussex', 'UNK']","['UNK', 'UNK', 'UNK']",13.80281752,100.55399276
191719,1223488291288371200,2020-02-01T06:08:34,en,944123512272306176,,,,0.629,-1,ORG,,"[{'label': 'GPE', 'term': 'Singapore'}, {'label': 'GPE', 'term': 'Thailand'}, {'label': 'GPE', 'term': 'China'}, {'label': 'COVID-Entity', 'term': 'Coronavirus'}, {'label': 'GPE', 'term': 'ndtv spicejetairlines'}]","[28.6139, 77.2089]",IN,Delhi,,New Delhi,"[[[76.84252, 28.397657], [76.84252, 28.879322], [77.347652, 28.879322], [77.347652, 28.397657]]]",IN,Delhi,,New Delhi,Jammu And Kashmir,IN,Jammu and Kashmir,,,['Ladakh'],['IN'],['Ladakh'],['UNK'],['UNK'],"['Singapore', 'Thailand', 'China']","['SG', 'TH', 'CN']","['UNK', 'UNK', 'UNK']","['UNK', 'UNK', 'UNK']","['UNK', 'UNK', 'UNK']",28.6139,77.2089
194377,1223489810796597248,2020-02-01T06:14:36,en,27719821,,,,0.607,0,UNK,,"[{'label': 'DATE', 'term': '2'}]","[29.42415685, -98.48856458]",US,Texas,Bexar County,San Antonio,"[[[-98.778559, 29.141956], [-98.778559, 29.693046], [-98.302744, 29.693046], [-98.302744, 29.141956]]]",US,Texas,Bexar County,San Antonio,Chicago San Antonio New York,US,Illinois,Cook County,Chicago,,,,,,,,,,,29.42415685,-98.48856458
